"","0.95","0.975","0.99","mean"
"n-GARCH",0.504612448901738,0.00324983480554941,0.00155157719970045,0.169804620302329
"t-GARCH",0.211199260067054,0.0188230687761605,0.168096402765962,0.132706243869725
"GJR",0.582840860169082,0.266063354211673,0.254624727826585,0.36784298073578
"EVT",0.199025264862131,0.209571192080035,0.499684587324544,0.302760348088903
