"","mean","std","min","max"
"n-GARCH",-2.56365027471036,1.05281216019226,-9.59941468571822,-1.33908844751416
"t-GARCH",-2.92110608611621,1.11940441313855,-10.2795233921639,-1.60303648976188
"EGARCH",-2.84150296656037,1.31679190488244,-11.4500081773941,-1.46064467986626
"EVT",-3.74139954117466,0.462596423072544,-4.37297139633435,-2.9993282824025
