"","0.95","0.975","0.99"
"期待超過率",0.05,0.025,0.01
"n-GARCH",0.0538674033149171,0.0379834254143646,0.0193370165745856
"t-GARCH",0.0573204419889503,0.0352209944751381,0.0138121546961326
"GJR",0.0531767955801105,0.0296961325966851,0.013121546961326
"EVT",0.042817679558011,0.0200276243093923,0.00828729281767956
