"","mean","std","min","max"
"n-GARCH",-2.32952273567926,0.433988544025712,-4.267176636387,-1.5829130072723
"t-GARCH",-2.67512468907077,0.46200917107912,-4.75491022848975,-1.80255594159332
"EGARCH",-2.50160072229107,0.609510931830953,-5.00558218613007,-1.62155830951826
"EVT",-3.06201390487074,0.0457137607951642,-3.30871975998483,-2.9993282824025
